,Date,Rounded_Time,Return,Positive,Negative
1333,09/06/2017,14:00,0.0004727140670226504,1,0
1342,09/07/2017,14:30,-0.0017067024792112306,0,1
1343,09/07/2017,15:00,-0.0018019707803205165,0,1
1344,09/08/2017,10:00,0.0012624182775677895,1,0
1356,09/11/2017,13:30,8.904190911884768e-05,0,1
1364,09/12/2017,13:30,0.0026453751684698545,1,0
1367,09/12/2017,15:00,0.0013798578507948633,1,0
1382,09/14/2017,14:30,0.0005762370691755336,0,1
1386,09/15/2017,11:00,0.003525562461790699,1,0
1387,09/15/2017,11:30,0.0004315598275859145,0,1
1389,09/15/2017,14:00,-0.0004559250216420452,1,0
1395,09/18/2017,11:30,0.0003183183299402259,1,0
1405,09/19/2017,14:00,0.002226429941854846,0,1
1407,09/19/2017,15:00,0.0015681788194363833,0,1
1408,09/20/2017,10:00,0.00046227880410043554,1,0
1413,09/20/2017,14:00,0.0009711146158633,0,1
1416,09/21/2017,10:00,-0.0014335470246322757,1,0
1418,09/21/2017,11:00,0.0007213861613735162,1,0
1426,09/22/2017,11:00,2.392831078168456e-05,1,0
1442,09/26/2017,11:00,-0.00047880395688437716,1,0
1453,09/27/2017,14:00,0.0016468879489881516,0,1
1462,09/28/2017,14:30,-0.00021554369483389735,1,0
1471,09/29/2017,15:00,0.0008752866524961433,1,0
1476,10/09/2017,13:30,-0.002418273752379463,1,0
1494,10/11/2017,14:30,-0.0008352826205264563,1,0
1503,10/12/2017,15:00,0.0023239528283607314,1,0
1507,10/13/2017,11:30,0.0005722393296352379,0,1
1522,10/17/2017,11:00,0.001866494308110589,0,1
1524,10/17/2017,13:30,-0.0005858213649112542,1,0
1528,10/18/2017,10:00,0.0009066506105419592,0,1
1531,10/18/2017,11:30,0.0007692376347154806,1,0
1533,10/18/2017,14:00,-0.0004558559810874385,0,1
1548,10/20/2017,13:30,0.0005276606967790087,0,1
1565,10/24/2017,14:00,-0.00040207780155654405,0,1
1569,10/25/2017,10:30,0.0007882442784374888,1,0
1573,10/25/2017,14:00,0.0008257663137811733,1,0
1574,10/25/2017,14:30,0.0003242408371413319,1,0
1576,10/26/2017,10:00,0.0007532070498506016,1,0
1602,10/31/2017,11:00,-1.7745179226480445e-05,1,0
1605,10/31/2017,14:00,0.002806658641466342,1,0
1606,10/31/2017,14:30,0.0012028906200978184,0,1
1608,11/01/2017,10:00,0.0036292663080832455,0,1
1613,11/01/2017,14:00,0.0013039058679122917,1,0
1615,11/01/2017,15:00,-0.001788788190827617,1,0
1622,11/02/2017,14:30,-8.288879289075624e-05,0,1
1626,11/03/2017,11:00,-0.0011556241655892308,1,0
1627,11/03/2017,11:30,-0.004225195186178254,1,0
1683,11/14/2017,11:30,-0.0017232500327466482,0,1
1701,11/16/2017,14:00,0.0035152212764177904,0,1
1735,11/22/2017,15:00,0.004487587802078252,1,0
1760,11/28/2017,10:00,0.003671642676367881,1,0
1783,11/30/2017,15:00,0.0021366175345711724,0,1
1789,12/01/2017,14:00,-0.0007133422501333087,1,0
1803,12/05/2017,11:30,0.001562403517585409,1,0
1808,12/06/2017,10:00,0.0006833848162735023,0,1
1815,12/06/2017,15:00,0.005845904431708959,1,0
1816,12/07/2017,10:00,0.00011573122349872733,0,1
1821,12/07/2017,14:00,0.002038867365024899,0,1
1822,12/07/2017,14:30,-0.0032132957792896377,1,0
1823,12/07/2017,15:00,0.0011773251617910319,0,1
1827,12/08/2017,11:30,0.002919924128558904,1,0
1858,12/14/2017,11:00,-0.0014639823535098628,1,0
1861,12/14/2017,14:00,-0.0008603720195399234,1,0
1862,12/14/2017,14:30,0.0020902141268326346,1,0
1863,12/14/2017,15:00,-0.0007681319742953718,1,0
1867,12/15/2017,11:30,-0.003577755703860319,1,0
1868,12/15/2017,13:30,0.003071287428873859,1,0
1876,12/18/2017,13:30,-0.0018894609923449934,1,0
1885,12/19/2017,14:00,-0.0011614191291791087,1,0
1889,12/20/2017,10:30,-0.001560986593045044,1,0
1891,12/20/2017,11:30,-0.00014868873255124981,0,1
1905,12/22/2017,10:30,0.00014537040708084703,0,1
1994,01/09/2018,11:00,0.0010405019968207085,0,1
1997,01/09/2018,14:00,-0.0006740697360534398,1,0
2005,01/10/2018,14:00,-0.0021039215323188643,1,0
2019,01/12/2018,11:30,-0.0014630623157945166,1,0
2029,01/15/2018,14:00,-0.005875121290408458,1,0
2036,01/16/2018,13:30,0.0011248447220513214,1,0
2037,01/16/2018,14:00,-0.0030177226246319577,1,0
2054,01/18/2018,14:30,0.002122183670884681,1,0
2055,01/18/2018,15:00,0.0022069085743741113,0,1
2062,01/19/2018,14:30,-0.00048482484859491137,0,1
2085,01/24/2018,14:00,-0.002675986944941755,0,1
2090,01/25/2018,11:00,0.003904595183449544,0,1
2098,01/26/2018,11:00,0.0025903289237128035,0,1
2109,01/29/2018,14:00,-0.004189258789455863,1,0
2150,02/05/2018,14:30,0.00019808318697478455,0,1
2160,02/07/2018,10:00,-0.003154933186426234,1,0
2170,02/08/2018,11:00,-0.0008191816863956092,1,0
2173,02/08/2018,14:00,0.0035675901532261634,1,0
2190,02/12/2018,14:30,0.002527998359552086,1,0
2208,02/22/2018,10:00,0.002526480791960495,1,0
2213,02/22/2018,14:00,0.001810043938286654,0,1
2223,02/23/2018,15:00,0.0005170049108986774,1,0
2242,02/28/2018,11:00,-0.0003587026041333985,0,1
2254,03/01/2018,14:30,0.0012870409033087782,1,0
2260,03/02/2018,13:30,-0.0017788250953429952,0,1
2270,03/05/2018,14:30,-0.0006554804398373193,0,1
2297,03/09/2018,10:30,-0.0009518148298521822,1,0
2302,03/09/2018,14:30,0.0002452795063110358,1,0
2312,03/13/2018,10:00,0.0014008930728266478,1,0
2338,03/16/2018,11:00,-0.0021815156374067612,0,1
2353,03/20/2018,10:30,-0.0027512267947713553,1,0
2364,03/21/2018,13:30,0.00047154270904492535,1,0
2365,03/21/2018,14:00,-0.0020177429006054126,1,0
2372,03/22/2018,13:30,0.0010901359143158373,1,0
2375,03/22/2018,15:00,-0.0008821043660312,0,1
2379,03/23/2018,11:30,-0.0031437217923659944,0,1
2391,03/26/2018,15:00,0.00263932489398222,0,1
2396,03/27/2018,13:30,0.0006222136794011845,1,0
2406,03/28/2018,14:30,-0.0034625730186359505,1,0
2415,03/29/2018,15:00,-0.0017766036778237293,1,0
2423,03/30/2018,15:00,5.364781473282676e-05,1,0
2425,04/02/2018,10:30,-8.78442396707868e-05,0,1
2427,04/02/2018,11:30,-0.0034089262513585794,1,0
2437,04/03/2018,14:00,-0.00023359887978813276,1,0
2438,04/03/2018,14:30,0.003374570596269777,1,0
2440,04/04/2018,10:00,0.0026973011625148757,1,0
2453,04/09/2018,14:00,-0.001721543948351112,1,0
2454,04/09/2018,14:30,9.252922255065243e-05,0,1
2460,04/10/2018,13:30,-0.001986721992006224,1,0
2465,04/11/2018,10:30,0.0026725572572630085,0,1
2470,04/11/2018,14:30,-0.0031022099238278145,0,1
2475,04/12/2018,11:30,-0.001444563944399846,0,1
2476,04/12/2018,13:30,0.0008368791480215521,1,0
2477,04/12/2018,14:00,-0.0021733446216885,0,1
2482,04/13/2018,11:00,-0.0014512442793428448,1,0
2486,04/13/2018,14:30,-0.003144005838089825,0,1
2507,04/18/2018,11:30,-0.0005235208202734043,1,0
2512,04/19/2018,10:00,0.007982866445610526,1,0
2513,04/19/2018,10:30,-0.0011357075330451494,1,0
2514,04/19/2018,11:00,0.0006802350281702729,0,1
2516,04/19/2018,13:30,0.0005443239950739809,0,1
2527,04/20/2018,15:00,0.00038424592211505626,0,1
2535,04/23/2018,15:00,0.005133738161440249,0,1
2539,04/24/2018,11:30,0.0006644348714957005,1,0
2540,04/24/2018,13:30,-0.003062867868139918,0,1
2541,04/24/2018,14:00,0.00031058138202233465,1,0
2543,04/24/2018,15:00,0.00079611601920071,0,1
2550,04/25/2018,14:30,0.0022621358745364972,0,1
2565,04/27/2018,14:00,0.003639572678233449,1,0
2575,05/02/2018,15:00,0.0030489314986752447,1,0
2578,05/03/2018,11:00,0.0023878950677396205,0,1
2579,05/03/2018,11:30,0.003738711700151498,0,1
2596,05/07/2018,13:30,0.00035784691563200965,0,1
2604,05/08/2018,13:30,-0.0018309087083387965,1,0
2630,05/11/2018,14:30,-0.003265713415274263,0,1
2632,05/14/2018,10:00,0.0028377400378296613,1,0
2639,05/14/2018,15:00,0.0013178056977487529,1,0
2644,05/15/2018,13:30,-0.00019576021330891535,1,0
2647,05/15/2018,15:00,0.004194089225963538,0,1
2652,05/16/2018,13:30,0.0009074168601514998,1,0
2656,05/17/2018,10:00,-0.0026312105633401472,1,0
2664,05/18/2018,10:00,-0.0015466973796236516,0,1
2667,05/18/2018,11:30,-0.0014153881568397253,0,1
2671,05/18/2018,15:00,0.0012910343854617423,1,0
2686,05/22/2018,14:30,0.0032552762926041368,1,0
2690,05/23/2018,11:00,-0.00041955765462731165,0,1
2693,05/23/2018,14:00,-0.0014543720886628364,1,0
2694,05/23/2018,14:30,-5.34388698749666e-05,1,0
2698,05/24/2018,11:00,0.0016009830358765242,0,1
2699,05/24/2018,11:30,-0.000580670627755353,1,0
2729,05/30/2018,10:30,-0.005432752696481913,1,0
2757,06/04/2018,14:00,0.0009374828949457736,0,1
2767,06/05/2018,15:00,0.0018866868859976904,1,0
2774,06/06/2018,14:30,0.0013421312358374848,0,1
2775,06/06/2018,15:00,-0.0003883451570665386,1,0
2777,06/07/2018,10:30,0.0018803350421396914,0,1
2783,06/07/2018,15:00,-0.0015392553237649764,1,0
2806,06/12/2018,14:30,0.0019150024628427076,0,1
2807,06/12/2018,15:00,0.0004059528988005212,0,1
2819,06/14/2018,11:30,-0.0008249862833249466,0,1
2832,06/19/2018,10:00,-0.0028740572502004014,0,1
2840,06/20/2018,10:00,0.003933457548097152,1,0
2847,06/20/2018,15:00,-0.002661311366727759,0,1
2855,06/21/2018,15:00,-0.003616778557157474,1,0
2862,06/22/2018,14:30,0.0020074609243589947,1,0
2863,06/22/2018,15:00,0.002931872501790167,0,1
2879,06/26/2018,15:00,0.0035111542397689988,0,1
2880,06/27/2018,10:00,0.00015830438448283246,1,0
2885,06/27/2018,14:00,-0.003525809455708462,1,0
2887,06/27/2018,15:00,0.004678241920200499,1,0
2892,06/28/2018,13:30,-0.003626815383108273,0,1
2893,06/28/2018,14:00,-0.004487335643376333,0,1
2934,07/05/2018,14:30,-0.0020296184886108293,1,0
2938,07/06/2018,11:00,-0.002947995841038775,1,0
2939,07/06/2018,11:30,0.005406005389845703,1,0
2963,07/11/2018,11:30,-0.0028825567815946584,0,1
2968,07/12/2018,10:00,0.010593125464424702,0,1
2971,07/12/2018,11:30,0.0030430221561283943,0,1
2986,07/16/2018,11:00,-0.0008643334944444803,0,1
2987,07/16/2018,11:30,0.002711497443903532,0,1
2990,07/16/2018,14:30,-5.6964842026552276e-05,1,0
2991,07/16/2018,15:00,0.002123758604474446,1,0
3005,07/18/2018,14:00,-0.00579765511013175,1,0
3033,07/24/2018,10:30,0.0027276313396313867,1,0
3037,07/24/2018,14:00,-0.0014083030213019043,0,1
3048,07/26/2018,10:00,-0.0038825492885257162,0,1
3061,07/27/2018,14:00,0.0006009793016730214,0,1
3063,07/27/2018,15:00,-0.0012137717617139998,1,0
3070,07/30/2018,14:30,0.00037087057042306526,1,0
3084,08/01/2018,13:30,-0.0016197501307164686,1,0
3085,08/01/2018,14:00,-0.0024940678280946926,1,0
3093,08/02/2018,14:00,0.004073771058665798,1,0
3095,08/02/2018,15:00,0.005023398108677135,0,1
3105,08/06/2018,10:30,-0.00019259175875863122,0,1
3109,08/06/2018,14:00,-0.0026492807141158536,1,0
3124,08/08/2018,13:30,-0.0032860221921753308,0,1
3134,08/09/2018,14:30,-0.0009009202865959409,0,1
3144,08/13/2018,10:00,-0.0032374252605835707,1,0
3150,08/13/2018,14:30,0.005122273213660655,1,0
3160,08/15/2018,10:00,-0.006426221066933024,1,0
3164,08/15/2018,13:30,-0.002192411344115186,0,1
3169,08/16/2018,10:30,0.0046572474354160676,0,1
3181,08/17/2018,14:00,0.0012621905132972344,1,0
3192,08/21/2018,10:00,0.004791600792557915,1,0
3200,08/22/2018,10:00,-0.00523704554047999,1,0
3202,08/22/2018,11:00,-0.003965359746388231,1,0
3207,08/22/2018,15:00,0.00030579969621502556,1,0
3209,08/23/2018,10:30,0.0034439147452483,1,0
3210,08/23/2018,11:00,-0.0032822504767189287,1,0
3213,08/23/2018,14:00,0.00372648912952922,0,1
3218,08/24/2018,11:00,0.0022714188456864903,1,0
3232,08/28/2018,10:00,0.0007077992948039125,0,1
3240,08/29/2018,10:00,-0.0011214058049562325,0,1
3251,08/30/2018,11:30,-0.0027448324436107896,0,1
3252,08/30/2018,13:30,0.0003094290331002725,1,0
3254,08/30/2018,14:30,-0.00047710880260254385,0,1
3260,08/31/2018,13:30,0.0013697306329438774,1,0
3264,09/03/2018,10:00,-0.0016911656306470846,1,0
