,Date,Rounded_Time,Return,Positive,Negative
2396,03/27/2018,13:30,0.0006222136794011845,0,1
2414,03/29/2018,14:30,0.007453293124424221,1,0
2415,03/29/2018,15:00,-0.0017766036778237293,0,1
2453,04/09/2018,14:00,-0.001721543948351112,1,0
2460,04/10/2018,13:30,-0.001986721992006224,1,0
2475,04/12/2018,11:30,-0.001444563944399846,0,1
2477,04/12/2018,14:00,-0.0021733446216885,1,0
2482,04/13/2018,11:00,-0.0014512442793428448,0,1
2486,04/13/2018,14:30,-0.003144005838089825,0,1
2507,04/18/2018,11:30,-0.0005235208202734043,1,0
2513,04/19/2018,10:30,-0.0011357075330451494,1,0
2516,04/19/2018,13:30,0.0005443239950739809,0,1
2519,04/19/2018,15:00,0.0028300920759871673,1,0
2527,04/20/2018,15:00,0.00038424592211505626,1,0
2535,04/23/2018,15:00,0.005133738161440249,0,1
2540,04/24/2018,13:30,-0.003062867868139918,1,0
2541,04/24/2018,14:00,0.00031058138202233465,0,1
2550,04/25/2018,14:30,0.0022621358745364972,1,0
2575,05/02/2018,15:00,0.0030489314986752447,1,0
2630,05/11/2018,14:30,-0.003265713415274263,0,1
2644,05/15/2018,13:30,-0.00019576021330891535,0,1
2647,05/15/2018,15:00,0.004194089225963538,1,0
2664,05/18/2018,10:00,-0.0015466973796236516,1,0
2667,05/18/2018,11:30,-0.0014153881568397253,1,0
2671,05/18/2018,15:00,0.0012910343854617423,1,0
2693,05/23/2018,14:00,-0.0014543720886628364,0,1
2699,05/24/2018,11:30,-0.000580670627755353,1,0
2729,05/30/2018,10:30,-0.005432752696481913,0,1
2767,06/05/2018,15:00,0.0018866868859976904,1,0
2774,06/06/2018,14:30,0.0013421312358374848,1,0
2776,06/07/2018,10:00,-0.0007884742151134105,0,1
2777,06/07/2018,10:30,0.0018803350421396914,0,1
2782,06/07/2018,14:30,-0.00015093103604257863,1,0
2806,06/12/2018,14:30,0.0019150024628427076,1,0
2807,06/12/2018,15:00,0.0004059528988005212,0,1
2815,06/13/2018,15:00,-0.001448226176364642,1,0
2819,06/14/2018,11:30,-0.0008249862833249466,1,0
2847,06/20/2018,15:00,-0.002661311366727759,1,0
2855,06/21/2018,15:00,-0.003616778557157474,1,0
2862,06/22/2018,14:30,0.0020074609243589947,1,0
