,real_Date,A,B
369,2019-05-26,,-1
370,2019-05-30,-1,
371,2019-05-30,,-1
372,2019-05-31,,-1
373,2019-06-01,-1,
374,2019-06-02,,-1
375,2019-06-03,,-1
376,2019-06-04,-1,
377,2019-06-05,-1,
378,2019-06-05,,-1
379,2019-06-07,-1,
380,2019-06-07,,0
381,2019-06-08,,-1
382,2019-06-09,-1,
383,2019-06-09,,-1
384,2019-06-10,,-1
385,2019-06-11,,-1
386,2019-06-12,,-1
387,2019-06-13,,-1
388,2019-06-17,-1,
389,2019-06-18,,-1
390,2019-06-19,-1,
391,2019-06-22,,-1
392,2019-06-23,,-1
393,2019-06-24,,-1
394,2019-06-26,,-1
395,2019-06-27,-1,
396,2019-06-27,,-1
397,2019-06-28,-1,
398,2019-06-29,-1,
399,2019-07-01,,-1
400,2019-07-02,,-1
401,2019-07-03,-1,
402,2019-07-03,,-1
403,2019-07-06,,-1
404,2019-07-07,,1
405,2019-07-08,,-1
406,2019-07-09,,-1
407,2019-07-11,-1,
408,2019-07-11,,-1
409,2019-07-12,,-1
410,2019-07-15,,-1
411,2019-07-16,,-1
412,2019-07-17,-1,
413,2019-07-18,-1,
414,2019-07-21,,-1
415,2019-07-22,-1,
416,2019-07-23,,-1
417,2019-07-26,,-1
418,2019-07-28,-1,
419,2019-07-28,,-1
420,2019-07-29,,0
421,2019-07-30,,-1
422,2019-07-31,-1,
423,2019-08-01,,-1
424,2019-08-03,,-1
425,2019-08-05,,-1
426,2019-08-06,,-1
427,2019-08-07,-1,
428,2019-08-07,,-1
429,2019-08-10,-1,
430,2019-08-11,-1,
431,2019-08-13,,-1
432,2019-08-14,-1,
433,2019-08-14,,1
434,2019-08-15,-1,
435,2019-08-15,,-1
436,2019-08-16,1,
437,2019-08-18,-1,
438,2019-08-18,,-1
439,2019-08-19,-1,
440,2019-08-21,-1,
441,2019-08-21,,-1
442,2019-08-23,-1,
443,2019-08-23,,-1
444,2019-08-24,,-1
445,2019-08-25,-1,
446,2019-08-25,,-1
447,2019-08-26,,-1
448,2019-08-27,-1,
449,2019-08-28,,-1
450,2019-08-30,,-1
451,2019-08-31,-1,
452,2019-08-31,,-1
453,2019-09-01,,-1
454,2019-09-02,-1,
455,2019-09-02,,-1
456,2019-09-03,,-1
457,2019-09-04,-1,
458,2019-09-04,,-1
459,2019-09-06,,-1
460,2019-09-07,,0
461,2019-09-09,,-1
462,2019-09-11,-1,
463,2019-09-11,,-1
464,2019-09-12,,-1
465,2019-09-13,,1
466,2019-09-16,-1,
467,2019-09-16,,0
468,2019-09-17,,-1
469,2019-09-22,,-1
470,2019-09-24,-1,
471,2019-09-25,-1,
472,2019-09-25,,-1
473,2019-09-26,-1,
474,2019-09-27,,-1
475,2019-09-28,-1,
476,2019-09-30,-1,
477,2019-09-30,,-1
478,2019-10-01,,-1
479,2019-10-03,,-1
480,2019-10-05,,-1
481,2019-10-06,-1,
482,2019-10-06,,-1
483,2019-10-07,,-1
484,2019-10-08,1,
485,2019-10-09,,-1
486,2019-10-10,,-1
487,2019-10-11,,-1
488,2019-10-12,,-1
489,2019-10-13,-1,
490,2019-10-13,,-1
491,2019-10-14,-1,
492,2019-10-14,,-1
493,2019-10-15,-1,
494,2019-10-18,,-1
495,2019-10-25,,-1
496,2019-10-26,-1,
497,2019-10-29,,-1
498,2019-10-30,,-1
499,2019-10-31,-1,
500,2019-10-31,,-1
501,2019-11-01,-1,
502,2019-11-01,,-1
503,2019-11-02,,-1
504,2019-11-03,1,
505,2019-11-04,,-1
506,2019-11-05,,0
507,2019-11-07,,-1
508,2019-11-10,-1,
509,2019-11-10,,-1
510,2019-11-11,,-1
511,2019-11-12,,-1
512,2019-11-14,-1,
513,2019-11-14,,-1
514,2019-11-16,,-1
515,2019-11-17,,-1
516,2019-11-18,,-1
517,2019-11-20,,-1
518,2019-11-21,,-1
519,2019-12-02,,-1
520,2019-12-04,,-1
521,2019-12-06,-1,
522,2019-12-06,,-1
523,2019-12-07,,-1
524,2019-12-08,,-1
525,2019-12-10,-1,
526,2019-12-10,,-1
527,2019-12-12,,-1
528,2019-12-13,,-1
529,2019-12-14,,-1
530,2019-12-16,,-1
531,2019-12-17,,-1
532,2019-12-18,,-1
533,2019-12-19,-1,
534,2019-12-20,-1,
535,2019-12-20,,-1
536,2019-12-24,,1
537,2019-12-26,-1,
538,2019-12-27,,-1
539,2019-12-31,,-1
