,Date,Rounded_Time,Return,Positive,Negative
828,10/10/2019,15:30,-0.00050023736795346,0,1
829,10/10/2019,15:00,0.0015491711629422866,0,1
840,10/10/2019,9:30,0.006761281712024392,1,0
848,10/09/2019,13:00,-0.0006166960363733764,1,0
849,10/09/2019,12:30,0.000836060286155238,1,0
852,10/09/2019,11:00,-0.0011124541058276094,0,1
855,10/09/2019,9:30,-9.962366310745097e-05,1,0
864,10/08/2019,12:30,0.0010690353748188386,1,0
867,10/08/2019,11:00,-0.002488560965837827,0,1
869,10/08/2019,10:00,-0.0009404340813299328,1,0
870,10/08/2019,9:30,-0.0055832880328869905,1,0
880,10/07/2019,11:30,0.001577837471526955,0,1
882,10/07/2019,10:30,0.0009432874604309305,0,1
883,10/07/2019,10:00,0.0022734349349118332,1,0
901,10/03/2019,16:00,-9.962982375455454e-05,0,1
904,10/03/2019,14:30,-0.001554825085853473,1,0
905,10/03/2019,14:00,0.0006636008323637199,0,1
912,10/03/2019,10:30,0.0008784341522289907,1,0
916,10/02/2019,16:00,-0.00014197585395514523,0,1
919,10/02/2019,14:30,0.0019064925112024511,0,1
928,10/02/2019,10:00,-0.0013640358279785048,0,1
929,10/02/2019,9:30,-0.006913248597150812,0,1
943,10/01/2019,10:00,-0.006681042339078402,0,1
944,10/01/2019,9:30,0.0021761409888085836,0,1
946,09/30/2019,16:00,4.031336926235696e-05,1,0
948,09/30/2019,15:00,-0.00019805736007327823,1,0
949,09/30/2019,14:30,-0.0006006419331319179,1,0
951,09/30/2019,13:30,0.00014087483294389358,1,0
955,09/30/2019,11:30,9.065224294957375e-05,1,0
964,09/27/2019,14:30,-0.002083803507699322,0,1
973,09/27/2019,10:00,0.00040971495159602966,1,0
982,09/26/2019,13:00,-0.0011470224926934947,1,0
986,09/26/2019,11:00,-0.002251809719427733,0,1
993,09/25/2019,15:00,0.0006163885855077211,1,0
997,09/25/2019,13:00,0.00024206806937865366,1,0
1000,09/25/2019,11:30,-5.717120254455921e-05,1,0
1001,09/25/2019,11:00,0.0007064665529625813,1,0
1003,09/25/2019,10:00,0.0009619977890231723,0,1
1004,09/25/2019,9:30,-0.0025230988117010966,1,0
1023,09/23/2019,15:00,0.0009043266469976885,0,1
1024,09/23/2019,14:30,-2.003191752208977e-05,0,1
1037,09/20/2019,15:30,-0.0018471790685605782,0,1
1039,09/20/2019,14:30,0.00013338179558353147,1,0
1071,09/18/2019,13:00,-0.0010721103730748638,0,1
1075,09/18/2019,11:00,-0.0004036286604449657,0,1
