Time,Open,High,Low,Last,Change,Volume
12/26/2019 9:30,3227.2,3231.99,3227.2,3230.7,7.32,0
12/24/2019 15:00,3223.38,3223.38,3223.38,3223.38,0,0
12/24/2019 13:00,3223.5,3223.5,3223.34,3223.38,-0.06,0
12/24/2019 12:30,3222.81,3223.61,3221.85,3223.44,0.63,0
12/24/2019 12:00,3222.89,3223.25,3222.12,3222.81,-0.08,0
12/24/2019 11:30,3223.09,3223.77,3222.71,3222.89,-0.19,0
12/24/2019 11:00,3222.91,3223.99,3222.74,3223.08,0.17,0
12/24/2019 10:30,3223.48,3224.28,3222.43,3222.91,-0.55,0
12/24/2019 10:00,3221.84,3223.46,3221.7,3223.46,1.61,0
12/24/2019 9:30,3225.45,3226.43,3220.51,3221.85,-2.16,0
12/23/2019 17:00,3224.01,3224.01,3224.01,3224.01,0,0
12/23/2019 16:00,3224.02,3224.06,3224,3224.01,-0.06,0
12/23/2019 15:30,3225.3,3225.64,3222.3,3224.07,-1.23,0
12/23/2019 15:00,3225.81,3225.93,3224.08,3225.3,-0.51,0
12/23/2019 14:30,3225.74,3226.29,3224.94,3225.81,0.06,0
12/23/2019 14:00,3225.3,3226.49,3225.24,3225.75,0.43,0
12/23/2019 13:30,3226.59,3226.63,3224.61,3225.32,-1.26,0
12/23/2019 13:00,3225.11,3226.71,3225.02,3226.58,1.47,0
12/23/2019 12:30,3224.68,3225.89,3224.65,3225.11,0.45,0
12/23/2019 12:00,3226.49,3226.73,3224.46,3224.66,-1.83,0
12/23/2019 11:30,3227.27,3227.78,3226.06,3226.49,-0.77,0
12/23/2019 11:00,3227.32,3227.75,3225.93,3227.26,-0.08,0
12/23/2019 10:30,3225.17,3227.34,3224.53,3227.34,2.2,0
12/23/2019 10:00,3224.79,3226.39,3224.16,3225.14,0.45,0
12/23/2019 9:30,3226.05,3227.3,3223.55,3224.69,3.47,0
12/20/2019 16:30,3221.22,3221.22,3221.22,3221.22,0,0
12/20/2019 16:00,3220.92,3221.23,3220.92,3221.22,0.71,0
12/20/2019 15:30,3222.88,3223.84,3220.51,3220.51,-2.38,0
12/20/2019 15:00,3224.9,3224.91,3222.67,3222.89,-2.01,0
12/20/2019 14:30,3221.85,3225.65,3221.44,3224.9,3.04,0
12/20/2019 14:00,3222.17,3222.32,3221.02,3221.86,-0.3,0
12/20/2019 13:30,3222.97,3223.32,3222.11,3222.16,-0.81,0
12/20/2019 13:00,3222.78,3224.27,3222.7,3222.97,0.18,0
12/20/2019 12:30,3223.03,3223.75,3222.35,3222.79,-0.24,0
12/20/2019 12:00,3222.96,3223.05,3221.64,3223.03,0.08,0
12/20/2019 11:30,3222.74,3225.17,3222.69,3222.95,0.2,0
12/20/2019 11:00,3220.8,3223.71,3220.71,3222.75,1.95,0
12/20/2019 10:30,3219.78,3221.11,3219.14,3220.8,1.05,0
12/20/2019 10:00,3217.66,3219.8,3216.87,3219.75,2.09,0
12/20/2019 9:30,3223.33,3225.65,3216.03,3217.66,12.29,0
12/19/2019 16:30,3205.37,3205.37,3205.37,3205.37,0,0
12/19/2019 16:00,3205.3,3205.38,3205.23,3205.37,0.07,0
12/19/2019 15:30,3201.98,3205.48,3200.52,3205.3,3.31,0
12/19/2019 15:00,3204.47,3205.11,3201.91,3201.99,-2.51,0
12/19/2019 14:30,3204.97,3205.46,3204.1,3204.5,-0.46,0
12/19/2019 14:00,3203.88,3205.37,3203.42,3204.96,1.09,0
12/19/2019 13:30,3202.12,3203.94,3201.7,3203.87,1.76,0
12/19/2019 13:00,3201.03,3202.75,3200.34,3202.11,1.12,0
12/19/2019 12:30,3202.34,3202.34,3200.71,3200.99,-1.35,0
12/19/2019 12:00,3200.93,3203.36,3200.65,3202.34,1.41,0
12/19/2019 11:30,3201.12,3202.71,3200.05,3200.93,-0.19,0
12/19/2019 11:00,3197.3,3201.99,3197.05,3201.12,3.84,0
12/19/2019 10:30,3197.65,3198.39,3195.79,3197.28,-0.38,0
12/19/2019 10:00,3195.91,3197.66,3194.4,3197.66,1.58,0
12/19/2019 9:30,3192.32,3197.4,3192.32,3196.08,4.94,0
12/18/2019 16:30,3191.14,3191.14,3191.14,3191.14,0,0
12/18/2019 16:00,3191.25,3191.38,3191.14,3191.14,-0.92,0
12/18/2019 15:30,3195.29,3196.24,3191.18,3192.06,-3.23,0
12/18/2019 15:00,3196.37,3196.54,3194.82,3195.29,-1.08,0
12/18/2019 14:30,3195.29,3196.68,3195.23,3196.37,1.06,0
12/18/2019 14:00,3196.13,3196.37,3194.4,3195.31,-0.83,0
12/18/2019 13:30,3194.55,3196.21,3194.39,3196.14,1.59,0
12/18/2019 13:00,3194.43,3195.72,3194.38,3194.55,0.12,0
12/18/2019 12:30,3194.57,3194.75,3193.9,3194.43,-0.15,0
12/18/2019 12:00,3194.07,3195.68,3193.89,3194.58,0.52,0
12/18/2019 11:30,3197.58,3197.9,3193.98,3194.06,-3.56,0
12/18/2019 11:00,3195.99,3198.48,3194.61,3197.62,1.62,0
12/18/2019 10:30,3192.49,3196.7,3192.49,3196,3.53,0
12/18/2019 10:00,3193.57,3194.69,3191.66,3192.47,-1.09,0
12/18/2019 9:30,3195.21,3198.33,3193.55,3193.56,1.04,0
12/17/2019 16:30,3192.52,3192.52,3192.52,3192.52,0,0
12/17/2019 16:00,3192.14,3192.52,3192.14,3192.52,0.56,0
12/17/2019 15:30,3194.84,3195.39,3191.61,3191.96,-2.86,0
12/17/2019 15:00,3194.6,3195.41,3193.35,3194.82,0.21,0
12/17/2019 14:30,3193.46,3195.62,3193.44,3194.61,1.13,0
12/17/2019 14:00,3194.93,3195.93,3193.14,3193.48,-1.44,0
12/17/2019 13:30,3193.61,3195.08,3192.96,3194.92,1.31,0
12/17/2019 13:00,3196.37,3196.43,3193.59,3193.61,-2.76,0
12/17/2019 12:30,3195.87,3196.75,3194.95,3196.37,0.48,0
12/17/2019 12:00,3195,3196.04,3194.95,3195.89,0.88,0
12/17/2019 11:30,3193.94,3195.52,3192.46,3195.01,1.1,0
12/17/2019 11:00,3193.11,3194.57,3192.88,3193.91,0.78,0
12/17/2019 10:30,3196.34,3196.38,3193.08,3193.13,-3.24,0
12/17/2019 10:00,3191.71,3197.04,3191.03,3196.37,3.68,0
12/17/2019 9:30,3195.4,3198.22,3191.27,3192.69,1.24,0
12/16/2019 17:00,3191.45,3191.45,3191.45,3191.45,0,0
12/16/2019 16:00,3191.38,3191.48,3191.38,3191.45,-0.03,0
12/16/2019 15:30,3193.02,3195.06,3191.08,3191.48,-1.54,0
12/16/2019 15:00,3193.11,3195.18,3192.39,3193.02,-0.08,0
12/16/2019 14:30,3193.57,3194.19,3192.71,3193.1,-0.45,0
12/16/2019 14:00,3196.7,3197.45,3193.22,3193.55,-3.16,0
12/16/2019 13:30,3195.93,3197.26,3194.76,3196.71,0.79,0
12/16/2019 13:00,3196.14,3196.91,3195.23,3195.92,-0.2,0
12/16/2019 12:30,3197.04,3197.18,3195.96,3196.12,-0.91,0
12/16/2019 12:00,3196.48,3197.71,3196.06,3197.03,0.53,0
