trade_time,open,close,high,low,volume,money
2017-01-03 10:00:00,3105.31,3127.68,3128.5,3105.31,3233215600.0,35950596096.0
2017-01-03 10:30:00,3127.01,3131.77,3131.77,3123.38,2082207600.0,23542476800.0
2017-01-03 11:00:00,3131.86,3126.32,3133.53,3126.02,1606166400.0,17631617024.0
2017-01-03 11:30:00,3126.4,3125.56,3128.69,3123.02,1153488000.0,13487620096.0
2017-01-03 13:30:00,3125.67,3127.43,3128.42,3125.21,1069700000.0,12108726272.0
2017-01-03 14:00:00,3128.04,3131.05,3133.9,3127.68,1377064800.0,15901925376.0
2017-01-03 14:30:00,3131.59,3134.22,3134.92,3129.18,1385968000.0,15938953216.0
2017-01-03 15:00:00,3134.34,3135.92,3136.46,3130.65,2248908000.0,25325215744.0
2017-01-04 10:00:00,3133.79,3135.69,3141.19,3130.24,3160212000.0,38216090000.0
2017-01-04 10:30:00,3136.43,3138.18,3138.77,3133.28,2128196000.0,24404530000.0
2017-01-04 11:00:00,3138.92,3142.81,3144.63,3137.81,1764916000.0,20264360000.0
2017-01-04 11:30:00,3143.22,3148.29,3148.38,3141.65,1495344000.0,17663820000.0
2017-01-04 13:30:00,3148.83,3153.24,3154.42,3147.92,1824092000.0,20960200000.0
2017-01-04 14:00:00,3154.01,3156.64,3157.21,3151.07,1934240000.0,21705300000.0
2017-01-04 14:30:00,3157.25,3156.02,3160.02,3154.09,1918539200.0,22062500000.0
2017-01-04 15:00:00,3155.91,3158.79,3159.82,3152.4,2560540800.0,30637500000.0
2017-01-05 10:00:00,3157.91,3159.84,3163.77,3154.42,3696417200.0,43188576256.0
2017-01-05 10:30:00,3159.92,3164.47,3165.95,3159.47,2382230800.0,27876990976.0
2017-01-05 11:00:00,3164.28,3161.5,3164.62,3157.43,1905464800.0,21518270464.0
2017-01-05 11:30:00,3161.17,3162.37,3163.09,3159.44,1370052000.0,15396020224.0
2017-01-05 13:30:00,3161.89,3158.26,3162.79,3156.63,1331099200.0,15620579328.0
2017-01-05 14:00:00,3158.71,3166.32,3166.87,3158.01,1773262400.0,20713586688.0
2017-01-05 14:30:00,3166.8,3163.24,3168.37,3161.63,2057724800.0,22886842368.0
